word1,word2,part1,part2,part3,part4,part5,part6,part7,part8,part9,part10,part11,part12,part13,part14,part15,part16,part17,part18,part19,part20,part21,part22,part23,part24,part25
song,carol,7,6,6,6,6,6,7,7,7,6,4,4,7,2,7,7,7,7,5,2,7,5,5,6,5
hymn,anthem,7,7,4,5,7,6,7,4,7,5,7,4,7,7,7,6,3,7,6,7,7,6,5,6,5
harmony,melody,7,7,4,4,7,1,7,7,7,7,7,3,7,6,7,7,6,7,5,6,6,6,5,6,3
selection,repertoire,7,4,1,4,7,1,4,5,6,1,4,4,6,5,6,7,3,7,6,1,2,5,4,5,6
pop,rap,6,6,1,4,7,3,7,6,6,4,6,6,7,3,7,7,5,7,5,5,6,6,5,2,5
choir,falsetto,6,6,4,1,6,1,6,6,7,6,4,4,5,4,6,7,5,7,1,5,5,5,4,3,5
wine,soda,6,5,2,2,6,1,4,3,6,3,5,2,7,2,7,6,5,4,3,5,6,5,6,5,3
alloy,sugar,1,2,1,1,6,1,2,1,3,1,5,2,4,1,1,2,1,4,1,2,1,3,2,2,6
soup,beverage,7,5,2,1,7,2,4,2,6,2,2,4,6,2,5,5,4,3,3,3,3,3,2,5,3
sherry,champagne,7,6,2,2,6,1,7,7,7,6,5,3,7,1,7,7,6,1,5,2,5,4,5,3,4
oil,substance,6,7,1,2,7,1,7,6,5,3,2,5,6,4,6,7,3,2,6,6,6,2,4,6,4
acid,rice,1,3,1,1,7,1,1,1,1,1,4,3,1,2,1,1,1,1,3,2,1,2,2,2,5
brass,silver,7,6,4,1,7,1,7,7,4,3,4,3,7,1,7,7,5,2,1,3,4,5,3,5,5
phone,machine,6,7,3,3,6,1,5,4,6,5,7,5,6,4,6,7,4,7,5,6,6,5,4,6,5
frame,copper,3,2,2,1,6,1,2,2,1,1,4,3,2,2,2,6,1,4,1,3,1,2,3,3,5
helmet,lamp,4,6,3,1,7,1,2,1,1,1,3,3,2,1,4,3,5,1,1,4,2,2,3,2,3
electrode,lens,6,3,1,1,6,1,2,1,4,1,5,1,3,4,3,2,1,6,2,1,1,2,5,3,5
fingernail,tongue,5,1,3,2,6,1,6,6,3,3,2,3,6,1,6,6,5,7,1,3,5,3,5,3,3
theology,prayer,7,7,3,6,6,1,6,7,7,4,2,4,6,5,6,6,5,7,6,5,6,4,6,5,3
mechanic,premise,2,7,1,1,7,1,4,2,1,1,4,4,3,1,1,4,1,2,3,5,1,2,4,3,4
coding,recording,3,5,1,1,7,1,2,2,1,4,6,3,5,1,3,3,5,3,6,6,3,4,2,5,5
tutorial,recipe,6,7,5,5,6,1,6,6,5,5,3,5,6,5,7,6,5,7,3,5,5,1,4,6,4
topic,information,6,5,6,3,7,4,7,7,6,2,7,5,5,2,6,6,6,7,7,6,3,3,6,6,2
industry,obedience,2,7,2,2,6,1,1,1,1,1,2,3,4,1,2,2,3,2,1,3,1,4,1,3,4
blacksmith,publisher,5,5,1,2,7,1,4,4,3,3,2,4,5,1,4,3,1,1,1,3,1,1,3,4,4
heathen,philistine,7,3,3,1,6,1,1,2,4,1,4,3,4,1,7,4,5,4,1,1,4,2,2,4,5
merchant,sir,5,6,1,2,3,1,3,1,6,1,6,6,5,2,5,6,6,6,1,2,1,4,4,5,4
officer,astrologer,1,4,1,2,5,1,1,1,1,1,5,4,6,1,3,5,1,1,1,2,4,3,1,3,5
sister,pal,3,7,1,3,6,1,4,3,6,3,4,4,7,1,6,6,1,5,5,6,7,4,1,5,4
flora,rainforest,7,7,2,4,5,1,6,5,6,2,7,6,6,5,7,7,3,7,7,5,5,5,2,5,5
