word1,word2,part1,part2,part3,part4,part5,part6,part7,part8,part9,part10,part11,part12,part13,part14,part15,part16,part17,part18,part19,part20,part21,part22,part23,part24,part25
corpo,donna,1,5,6,7,2,5,5,4,7,5,5,3,1,3,6,5,4,6,4,3,2,6,5,6,4
famiglia,cittadino,2,6,5,7,5,4,4,3,7,5,6,2,5,4,3,4,4,5,5,1,5,5,7,4,4
ostaggio,americano,1,3,2,1,1,4,1,5,7,3,6,5,2,2,4,4,1,3,2,1,5,1,3,1,2
banda,membro,2,5,6,7,5,5,5,6,1,5,7,3,1,5,4,4,7,6,6,4,7,7,6,6,2
uomo,mostro,2,4,2,5,1,6,5,5,7,5,7,6,2,2,4,4,3,4,5,3,7,2,6,6,4
venditore,morto,4,3,2,1,1,4,1,3,4,3,1,1,2,2,5,1,5,1,1,1,2,2,3,2,2
prosciutto,salame,1,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7
cipolla,motociclista,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
oliva,zucca,1,5,6,7,5,5,5,5,6,5,5,2,7,5,4,5,6,5,6,6,7,7,4,6,6
porro,cuore,3,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,4,1,3,1,1,1,1,2,1
cipolla,carciofo,1,6,7,7,7,6,7,7,5,6,6,5,7,7,4,5,7,7,7,7,7,7,7,6,6
pane,carne,5,7,6,7,6,5,5,6,7,5,7,6,6,5,4,5,6,5,5,5,7,6,6,6,6
succo,sciroppo,4,7,6,7,6,6,6,7,7,6,7,5,7,5,4,6,6,6,5,6,7,4,6,6,6
carburante,soluzione,1,3,1,1,4,5,7,5,6,3,4,1,3,5,2,3,5,5,3,3,6,5,6,4,3
residuo,prodotto,3,5,3,2,4,4,6,6,7,6,5,4,1,4,6,5,7,6,6,7,3,7,7,5,4
veleno,bile,4,4,4,7,2,6,6,7,4,3,7,6,2,3,3,5,5,7,2,3,2,3,6,6,6
polpa,colla,4,3,1,1,1,4,1,4,1,1,3,4,1,2,1,3,3,4,3,2,1,1,2,1,1
inchiostro,vernice,1,5,7,7,7,6,6,7,7,7,7,5,6,6,6,5,6,7,6,7,7,7,7,7,5
contorno,trama,1,6,6,1,4,6,1,2,7,4,2,4,5,1,5,4,4,4,5,2,2,5,6,1,5
logo,opera,1,3,1,5,2,3,2,1,6,2,4,1,1,1,1,1,5,3,5,1,2,1,5,5,7
velo,mantello,2,4,5,7,7,6,7,7,7,6,7,5,7,6,5,5,5,7,7,7,7,5,7,6,6
sfondo,copertina,1,6,7,5,5,4,5,4,6,3,6,4,4,2,7,5,1,7,7,2,7,7,6,4,5
