verb,value
behead,0.29055436999022555
break,0.12276836214623506
build,0.21762785567742657
chop,0.34440540442572826
clean,0.17292497041218488
cook,0.33185906739493143
cut,0.2871232879595378
devour,0.23809859297188518
doodle,0.5125231723017851
drink,0.47495494373653285
eat,0.3859282310020324
embroider,0.48347837937372223
hum,0.4604600976785315
kill,0.33436898147194566
knife,0.4052205744674658
poison,0.2141225350611907
polish,0.3294412144676424
pour,0.33449987699263023
sew,0.46365623305930415
sign,0.4745322863537071
sing,0.7019831506086257
sip,0.5707923807178529
slice,0.4286860332412498
smoke,0.6132821453149185
steal,0.09412671500790444
swig,0.5701913824589526
teach,0.4225079780942123
wash,0.4027036029805784
watch,0.12497312517080204
write,0.3776801508375687
