verb,actual,predicted,squared error
behead,0.251,0.444,0.037
behead,0.507,0.475,0.001
behead,0.155,0.363,0.043
behead,0.567,0.389,0.032
break,0.05,0.445,0.156
break,0.038,0.48,0.195
break,0,0.36,0.13
break,0.039,0.388,0.122
build,0.616,0.551,0.004
build,0.883,0.584,0.089
build,0.124,0.457,0.111
build,0.45,0.485,0.001
chop,0.768,0.541,0.052
chop,0.85,0.571,0.078
chop,0.447,0.452,0
chop,0.629,0.477,0.023
clean,0.994,0.852,0.02
clean,0.994,0.914,0.006
clean,0.893,0.694,0.039
clean,0.91,0.745,0.027
cook,0.994,0.889,0.011
cook,0.995,0.937,0.003
cook,0.926,0.746,0.032
cook,0.915,0.786,0.017
cut,0.744,0.889,0.021
cut,0.678,0.937,0.067
cut,0.286,0.745,0.211
cut,0.519,0.785,0.071
devour,0.133,0.429,0.087
devour,0.217,0.46,0.059
devour,0.064,0.349,0.081
devour,0.057,0.375,0.101
doodle,0.984,0.803,0.033
doodle,0.975,0.852,0.015
doodle,0.951,0.666,0.081
doodle,0.93,0.707,0.05
drink,0.967,0.931,0.001
drink,0.977,0.961,0
drink,0.461,0.805,0.119
drink,0.766,0.831,0.004
eat,0.994,0.916,0.006
eat,1,0.953,0.002
eat,0.984,0.784,0.04
eat,0.976,0.815,0.026
embroider,0.959,0.835,0.015
embroider,0.93,0.877,0.003
embroider,0.836,0.704,0.018
embroider,0.765,0.739,0.001
hum,0.987,0.829,0.025
hum,0.985,0.872,0.013
hum,0.923,0.696,0.051
hum,0.874,0.733,0.02
kill,0.549,0.641,0.008
kill,0.83,0.671,0.025
kill,0.835,0.543,0.086
kill,0.939,0.568,0.138
knife,0.24,0.467,0.051
knife,0.225,0.498,0.075
knife,0.124,0.384,0.068
knife,0.304,0.41,0.011
poison,0.316,0.419,0.011
poison,0.479,0.451,0.001
poison,0.25,0.341,0.008
poison,0.572,0.367,0.042
polish,0.795,0.803,0
polish,0.83,0.852,0
polish,0.66,0.666,0
polish,0.454,0.707,0.064
pour,0.562,0.888,0.106
pour,0.527,0.936,0.167
pour,0.493,0.743,0.063
pour,0.463,0.784,0.103
sew,0.994,0.897,0.009
sew,0.952,0.941,0
sew,0.761,0.756,0
sew,0.821,0.794,0.001
sign,0.743,0.767,0.001
sign,0.759,0.787,0.001
sign,0.706,0.669,0.001
sign,0.679,0.687,0
sing,1,0.999,0
sing,0.993,1,0
sing,0.91,0.903,0
sing,0.935,0.904,0.001
sip,0.699,0.864,0.027
sip,0.693,0.899,0.042
sip,0.426,0.737,0.097
sip,0.588,0.768,0.032
slice,0.74,0.591,0.022
slice,0.616,0.62,0
slice,0.457,0.499,0.002
slice,0.495,0.523,0.001
smoke,0.987,0.953,0.001
smoke,0.992,0.974,0
smoke,0.924,0.836,0.008
smoke,0.894,0.854,0.002
steal,0.927,0.407,0.27
steal,0.962,0.442,0.27
steal,0.83,0.327,0.253
steal,0.945,0.355,0.348
swig,0.536,0.508,0.001
swig,0.531,0.539,0
swig,0.431,0.422,0
swig,0.485,0.447,0.001
teach,0.994,0.931,0.004
teach,0.994,0.961,0.001
teach,0.7,0.805,0.011
teach,0.839,0.831,0
wash,0.859,0.856,0
wash,0.882,0.893,0
wash,0.842,0.728,0.013
wash,0.855,0.76,0.009
watch,0.903,0.843,0.004
watch,0.795,0.909,0.013
watch,0.738,0.682,0.003
watch,0.599,0.736,0.019
write,0.99,0.929,0.004
write,1,0.96,0.002
write,0.839,0.802,0.001
write,0.941,0.829,0.013
