verb,telicity,perfectivity,iterativity,mannspec,part1,part2,part3,part4,part5,part6,part7,part8,part9,part10,part11,part12,part13,part14,part15,part16,part17,part18,part19,part20,part21,part22,part23,part24,part25,part26,part27,part28,part29,part30
behead,telic,imperf,noiter,spec,7,1,4,4,1,5,3,3,7,2,5,5,2,5,5,7,1,6,5,2,3,1,1,2,2,2,4,5,4,1
behead,telic,imperf,iter,spec,7,2,7,7,2,4,5,5,7,4,7,5,3,5,6,7,7,6,5,6,3,1,3,2,2,3,5,7,1,2
behead,telic,perf,noiter,spec,1,1,4,4,1,1,3,1,3,4,6,5,5,5,5,7,1,5,5,2,3,1,1,2,2,2,4,1,1,2
behead,telic,perf,iter,spec,7,6,7,6,7,5,7,7,7,7,7,5,5,3,6,7,7,5,6,2,3,1,1,3,5,4,5,1,1,1
break,telic,imperf,noiter,nospec,1,2,1,1,1,4,2,1,1,4,2,1,2,6,3,7,1,4,5,2,3,7,1,4,7,4,4,1,1,1
break,telic,imperf,iter,nospec,2,2,1,1,1,1,2,1,1,3,4,1,5,6,4,7,3,2,4,2,3,1,2,3,7,3,1,2,1,1
break,telic,perf,noiter,nospec,1,2,1,4,1,1,2,1,1,4,3,1,2,5,1,7,1,1,3,2,3,1,4,5,7,3,1,1,2,5
break,telic,perf,iter,nospec,1,5,1,1,1,1,2,1,1,3,7,1,3,2,3,7,1,2,2,4,3,1,3,5,5,4,1,2,1,1
build,telic,imperf,noiter,nospec,6,4,7,7,7,6,3,6,7,4,7,5,5,7,5,7,7,7,5,3,1,1,4,5,5,6,4,6,3,2
build,telic,imperf,iter,nospec,7,6,7,7,7,6,7,7,7,5,7,5,7,7,7,7,7,7,7,7,7,7,3,6,6,7,6,7,2,7
build,telic,perf,noiter,nospec,6,1,1,5,2,2,2,3,5,1,4,4,3,2,7,7,1,2,5,2,3,1,1,3,3,2,2,6,2,1
build,telic,perf,iter,nospec,7,4,4,5,7,4,6,5,7,4,7,1,5,2,5,7,7,4,5,5,3,1,4,3,3,2,5,5,2,2
chop,telic,imperf,noiter,spec,5,7,7,6,3,7,5,7,7,5,7,7,6,7,5,7,7,7,7,4,6,7,6,5,6,5,4,7,4,2
