ids,kind,verb,dObj,perf,iter,sentence
stim2,CONTROL,break,yes,yes,no,Paul had broken a vase.
stim4,CONTROL,break,yes,no,no,Sarah was breaking a vase.
stim10,CONTROL,build,yes,yes,no,Betty had built a house.
stim12,CONTROL,build,yes,no,no,Betty was building a house.
stim18,CONTROL,chop,yes,yes,no,Tom had chopped a log.
stim20,CONTROL,chop,yes,no,no,Sarah was chopping a log.
stim26,CONTROL,clean,yes,yes,no,Sam had cleaned a table.
stim28,CONTROL,clean,yes,no,no,Tom was cleaning a table.
stim34,CONTROL,cook,yes,yes,no,Mary had cooked dinner.
stim36,CONTROL,cook,yes,no,no,Diana was cooking dinner.
stim42,CONTROL,cut,yes,yes,no,Mary had cut some paper.
stim44,CONTROL,cut,yes,no,no,Sam was cutting some paper.
stim50,CONTROL,drink,yes,yes,no,Sarah had drunk juice.
stim52,CONTROL,drink,yes,no,no,Mary was drinking juice.
stim58,CONTROL,eat,yes,yes,no,Sean had eaten pizza.
stim60,CONTROL,eat,yes,no,no,John was eating pizza.
stim66,CONTROL,embroider,yes,yes,no,Clara had embroidered a tapestry.
stim68,CONTROL,embroider,yes,no,no,Sam was embroidering a tapestry.
stim74,CONTROL,pour,yes,yes,no,Betty had poured wine.
stim76,CONTROL,pour,yes,no,no,Sam was pouring wine.
stim82,CONTROL,sew,yes,yes,no,Betty had sewn a curtain.
stim84,CONTROL,sew,yes,no,no,John was sewing a curtain.
stim90,CONTROL,steal,yes,yes,no,Tom had stolen money.
stim92,CONTROL,steal,yes,no,no,Sean was stealing money.
stim98,CONTROL,wash,yes,yes,no,Betty had washed a car.
stim100,CONTROL,wash,yes,no,no,Clara was washing a car.
stim106,CONTROL,watch,yes,yes,no,Clara had watched a movie.
stim108,CONTROL,watch,yes,no,no,Sean was watching a movie.
stim114,CONTROL,write,yes,yes,no,Sam had written a letter.
stim116,CONTROL,write,yes,no,no,Paul was writing a letter.
stim122,CONTROL,behead,yes,yes,no,Tom had beheaded a prisoner.
stim124,CONTROL,behead,yes,no,no,Tom was beheading a prisoner.
stim130,CONTROL,devour,yes,yes,no,Mary had devoured a roasted chicken.
stim132,CONTROL,devour,yes,no,no,Paul was devouring a roasted chicken.
stim138,CONTROL,doodle,yes,yes,no,Sean had doodled a stick man.
stim140,CONTROL,doodle,yes,no,no,Paul was doodling a stick man.
stim146,CONTROL,kill,yes,yes,no,Betty had killed pests.
stim148,CONTROL,kill,yes,no,no,Sarah was killing pests.
stim154,CONTROL,knife,yes,yes,no,Clara had knifed a man.
stim156,CONTROL,knife,yes,no,no,Betty was knifing a man.
stim162,CONTROL,poison,yes,yes,no,Diana had poisoned a plant.
stim164,CONTROL,poison,yes,no,no,Paul was poisoning a plant.
stim170,CONTROL,sign,yes,yes,no,Sean had signed a paper.
stim172,CONTROL,sign,yes,no,no,Sam was signing a paper.
stim178,CONTROL,sip,yes,yes,no,Tom had sipped water.
stim180,CONTROL,sip,yes,no,no,Sean was sipping water.
stim186,CONTROL,smoke,yes,yes,no,John had smoked a cigarette.
stim188,CONTROL,smoke,yes,no,no,Sarah was smoking a cigarette.
stim194,CONTROL,swig,yes,yes,no,John had swigged beer.
stim196,CONTROL,swig,yes,no,no,Sarah was swigging beer.
stim202,CONTROL,polish,yes,yes,no,Sam had polished a sword.
stim204,CONTROL,polish,yes,no,no,Sean was polishing a sword.
stim210,CONTROL,teach,yes,yes,no,Mary had taught linguistics.
stim212,CONTROL,teach,yes,no,no,John was teaching linguistics.
stim218,CONTROL,sing,yes,yes,no,Mary had sung a carol.
stim220,CONTROL,sing,yes,no,no,Paul was singing a carol.
stim226,CONTROL,hum,yes,yes,no,Sam had hummed a lullaby.
stim228,CONTROL,hum,yes,no,no,Sam was humming a lullaby.
stim234,CONTROL,slice,yes,yes,no,Sean had sliced some pie.
stim236,CONTROL,slice,yes,no,no,Sarah was slicing some pie.
stim1,CONTROL,break,yes,yes,yes,Tom had broken a vase again.
stim3,CONTROL,break,yes,no,yes,Mary was breaking a vase again.
stim9,CONTROL,build,yes,yes,yes,Diana had built a house again.
stim11,CONTROL,build,yes,no,yes,Paul was building a house again.
stim17,CONTROL,chop,yes,yes,yes,Tom had chopped a log again.
stim19,CONTROL,chop,yes,no,yes,Diana was chopping a log again.
stim25,CONTROL,clean,yes,yes,yes,Tom had cleaned a table again.
stim27,CONTROL,clean,yes,no,yes,Sam was cleaning a table again.
stim33,CONTROL,cook,yes,yes,yes,John had cooked dinner again.
stim35,CONTROL,cook,yes,no,yes,John was cooking dinner again.
stim41,CONTROL,cut,yes,yes,yes,Paul had cut some paper again.
stim43,CONTROL,cut,yes,no,yes,Betty was cutting some paper again.
stim49,CONTROL,drink,yes,yes,yes,Sam had drunk juice again.
stim51,CONTROL,drink,yes,no,yes,Tom was drinking juice again.
stim57,CONTROL,eat,yes,yes,yes,John had eaten pizza again.
stim59,CONTROL,eat,yes,no,yes,Sean was eating pizza again.
stim65,CONTROL,embroider,yes,yes,yes,Tom had embroidered a tapestry again.
stim67,CONTROL,embroider,yes,no,yes,Sam was embroidering a tapestry again.
stim73,CONTROL,pour,yes,yes,yes,Sam had poured wine again.
stim75,CONTROL,pour,yes,no,yes,Betty was pouring wine again.
stim81,CONTROL,sew,yes,yes,yes,John had sewn a curtain again.
stim83,CONTROL,sew,yes,no,yes,Mary was sewing a curtain again.
stim89,CONTROL,steal,yes,yes,yes,Betty had stolen money again.
stim91,CONTROL,steal,yes,no,yes,Mary was stealing money again.
stim97,CONTROL,wash,yes,yes,yes,Sam had washed a car again.
stim99,CONTROL,wash,yes,no,yes,Tom was washing a car again.
stim105,CONTROL,watch,yes,yes,yes,Tom had watched a movie again.
stim107,CONTROL,watch,yes,no,yes,Sarah was watching a movie again.
stim113,CONTROL,write,yes,yes,yes,Clara had written a letter again.
stim115,CONTROL,write,yes,no,yes,Betty was writing a letter again.
stim121,CONTROL,behead,yes,yes,yes,Diana had beheaded a prisoner again.
stim123,CONTROL,behead,yes,no,yes,John was beheading a prisoner again.
stim129,CONTROL,devour,yes,yes,yes,Betty had devoured a roasted chicken again.
stim131,CONTROL,devour,yes,no,yes,Sarah was devouring a roasted chicken again.
stim137,CONTROL,doodle,yes,yes,yes,Tom had doodled a stick man again.
stim139,CONTROL,doodle,yes,no,yes,Tom was doodling a stick man again.
stim145,CONTROL,kill,yes,yes,yes,Diana had killed pests again.
stim147,CONTROL,kill,yes,no,yes,Sam was killing pests again.
stim153,CONTROL,knife,yes,yes,yes,Tom had knifed a man again.
stim155,CONTROL,knife,yes,no,yes,Sean was knifing a man again.
stim161,CONTROL,poison,yes,yes,yes,Paul had poisoned a plant again.
stim163,CONTROL,poison,yes,no,yes,John was poisoning a plant again.
stim169,CONTROL,sign,yes,yes,yes,Sarah had signed a paper again.
stim171,CONTROL,sign,yes,no,yes,Betty was signing a paper again.
stim177,CONTROL,sip,yes,yes,yes,John had sipped water again.
stim179,CONTROL,sip,yes,no,yes,Mary was sipping water again.
stim185,CONTROL,smoke,yes,yes,yes,Diana had smoked a cigarette again.
stim187,CONTROL,smoke,yes,no,yes,Paul was smoking a cigarette again.
stim193,CONTROL,swig,yes,yes,yes,Mary had swigged beer again.
stim195,CONTROL,swig,yes,no,yes,Clara was swigging beer again.
stim201,CONTROL,polish,yes,yes,yes,John had polished a sword again.
stim203,CONTROL,polish,yes,no,yes,Betty was polishing a sword again.
stim209,CONTROL,teach,yes,yes,yes,Sean had taught linguistics again.
stim211,CONTROL,teach,yes,no,yes,Sarah was teaching linguistics again.
stim217,CONTROL,sing,yes,yes,yes,Mary had sung a carol again.
stim219,CONTROL,sing,yes,no,yes,Sarah was singing a carol again.
stim225,CONTROL,hum,yes,yes,yes,John had hummed a lullaby again.
stim227,CONTROL,hum,yes,no,yes,Sean was humming a lullaby again.
stim233,CONTROL,slice,yes,yes,yes,Mary had sliced some pie again.
stim235,CONTROL,slice,yes,no,yes,Mary was slicing some pie again.
stim5,EXP,break,no,yes,yes,Sam had broken again.
stim6,EXP,break,no,yes,no,Sarah had broken.
stim7,EXP,break,no,no,yes,Clara was breaking again.
stim8,EXP,break,no,no,no,Clara was breaking.
stim13,EXP,build,no,yes,yes,Paul had built again.
stim14,EXP,build,no,yes,no,Paul had built.
stim15,EXP,build,no,no,yes,Paul was building again.
stim16,EXP,build,no,no,no,Sarah was building.
stim21,EXP,chop,no,yes,yes,Paul had chopped again.
stim22,EXP,chop,no,yes,no,Sean had chopped.
stim23,EXP,chop,no,no,yes,Clara was chopping again.
stim24,EXP,chop,no,no,no,Sean was chopping.
stim29,EXP,clean,no,yes,yes,Diana had cleaned again.
stim30,EXP,clean,no,yes,no,John had cleaned.
stim31,EXP,clean,no,no,yes,Sarah was cleaning again.
stim32,EXP,clean,no,no,no,Tom was cleaning.
stim37,EXP,cook,no,yes,yes,Clara had cooked again.
stim38,EXP,cook,no,yes,no,Betty had cooked.
stim39,EXP,cook,no,no,yes,John was cooking again.
stim40,EXP,cook,no,no,no,Diana was cooking.
stim45,EXP,cut,no,yes,yes,Tom had cut again.
stim46,EXP,cut,no,yes,no,Sean had cut.
stim47,EXP,cut,no,no,yes,Sam was cutting again.
stim48,EXP,cut,no,no,no,John was cutting.
stim53,EXP,drink,no,yes,yes,Sarah had drunk again.
stim54,EXP,drink,no,yes,no,Sarah had drunk.
stim55,EXP,drink,no,no,yes,Tom was drinking again.
stim56,EXP,drink,no,no,no,Clara was drinking.
stim61,EXP,eat,no,yes,yes,Sean had eaten again.
stim62,EXP,eat,no,yes,no,Betty had eaten.
stim63,EXP,eat,no,no,yes,Paul was eating again.
stim64,EXP,eat,no,no,no,Betty was eating.
stim69,EXP,embroider,no,yes,yes,Paul had embroidered again.
stim70,EXP,embroider,no,yes,no,Sarah had embroidered.
stim71,EXP,embroider,no,no,yes,Sam was embroidering again.
stim72,EXP,embroider,no,no,no,Clara was embroidering.
stim77,EXP,pour,no,yes,yes,Mary had poured again.
stim78,EXP,pour,no,yes,no,Tom had poured.
stim79,EXP,pour,no,no,yes,Betty was pouring again.
stim80,EXP,pour,no,no,no,Tom was pouring.
stim85,EXP,sew,no,yes,yes,Mary had sewn again.
stim86,EXP,sew,no,yes,no,Betty had sewn.
stim87,EXP,sew,no,no,yes,Tom was sewing again.
stim88,EXP,sew,no,no,no,Betty was sewing.
