verb,value
behead,0.2665590109890108
break,0.1672398532974804
build,0.14259006152197046
chop,0.250876263920088
clean,0.1701836735398874
cook,0.31215897191016945
cut,0.18466699313592272
devour,0.18176671598824243
doodle,0.22332499999999994
drink,0.2691043316531047
eat,0.21487358165625178
embroider,0.2410483984674331
hum,0.37887409183108933
kill,0.18732028544846346
knife,0.2619611111111111
poison,0.1850712748876043
polish,0.20191239599454402
pour,0.24835831137116315
sew,0.22664585367147644
sign,0.20564031937795324
sing,0.3141075723850854
sip,0.37466938967136204
slice,0.25784927497097393
smoke,0.2608563767121237
steal,0.15744235473302504
swig,0.4285276995305164
teach,0.18015142467099565
wash,0.19233420757156694
watch,0.15607432511726602
write,0.20329813297609786
