verb,value
behead,5.41951429109159
break,1.6793306972271176
build,1.0444365443830292
chop,3.438656094289755
clean,1.4409848073158913
cook,3.3312852756730833
cut,2.022539900328247
devour,3.2412081031584195
doodle,3.6684580190582055
drink,3.0733070499044426
eat,2.9666860095348273
embroider,4.676864553416348
hum,3.3698350402403054
kill,3.6808371012416345
knife,0
poison,4.279653745683352
polish,2.296068943151817
pour,2.7724980420575305
sew,2.833979840980959
sign,1.5293797499155062
sing,2.642727020790552
sip,3.3363686807974804
slice,3.5758202575701117
smoke,5.229644753166431
steal,1.8768283472927347
swig,2.8662435216484727
teach,1.6629568673957216
wash,1.8464744191425093
watch,2.3395754700199665
write,2.239589940207992
