verb,value
accoltellare,0.3079597819593789
affettare,0.46626135248993866
avvelenare,0.22779692116092695
bere,0.3234907686569406
cantare,0.3205721869843004
canticchiare,0.37776087472201647
costruire,0.17287654835175703
cucinare,0.4350583056740942
cucire,0.29180270654834617
decapitare,0.2499725954666117
divorare,0.256135131008793
firmare,0.20475470353876601
fumare,0.3025446626439931
guardare,0.16237313468251074
insegnare,0.1959324326755706
lavare,0.2624123234829927
lucidare,0.26015092597804695
mangiare,0.29584647583123846
pulire,0.21079758204545984
ricamare,0.22094988730807189
rompere,0.23340662139696455
rubare,0.18519251247467175
scarabocchiare,0.26218470824949713
scrivere,0.20467814921049665
sorseggiare,0.4077989860406971
spaccare,0.2667972822445544
tagliare,0.24275482460977424
trangugiare,0.3105916099773242
uccidere,0.2148306899420238
versare,0.33561646678650436
