verb,value
accoltellare,3.890054972777093
affettare,4.171865123063593
avvelenare,2.787554655603073
bere,3.0177796446611502
cantare,2.362766569982537
canticchiare,2.8050620027560345
costruire,0.7875067657846383
cucinare,3.71382520298977
cucire,3.0016072216417995
decapitare,3.5252440727001564
divorare,3.091973944651725
firmare,1.3281521941994174
fumare,3.1709384554039595
guardare,0.7338795569704666
insegnare,2.0545094983958077
lavare,2.638599775346278
lucidare,2.497534218645052
mangiare,3.042929318310735
pulire,1.5520676487000922
ricamare,2.3608646075158055
rompere,2.244588368992655
rubare,1.7026267535600168
scarabocchiare,2.439636158138708
scrivere,1.8178364364916102
sorseggiare,2.923331966414907
spaccare,2.575603929377065
tagliare,2.5737633430353495
trangugiare,2.9701312620677065
uccidere,3.230657237621352
versare,3.1375585181456485
