verb,telicity,in-for,progressive,conjunction
behead,yes,yes,yes,yes
break,yes,yes,yes,yes
build,yes,yes,yes,yes
chop,yes,yes,yes,yes
clean,no,yes,no,no
cook,no,yes,no,no
cut,no,no,no,no
devour,yes,yes,yes,no
doodle,no,no,no,no
drink,no,no,no,no
eat,no,no,no,no
embroider,no,no,no,no
hum,no,no,no,no
kill,yes,yes,yes,yes
knife,yes,no,yes,yes
poison,yes,yes,yes,yes
polish,no,no,no,no
pour,no,no,no,no
sew,no,no,no,no
sign,yes,yes,yes,yes
sing,no,no,no,no
sip,no,no,no,yes
slice,yes,yes,yes,yes
smoke,no,no,no,no
steal,yes,yes,yes,yes
swig,yes,yes,yes,no
teach,no,no,yes,no
wash,no,no,no,no
watch,no,no,no,no
write,no,no,no,no
