verb,frequency,Zipf score
behead,1674,2.9418
break,196609,5.0116
build,479945,5.3992
chop,15330,3.9036
clean,53629,4.4474
cook,36378,4.2789
cut,158274,4.9174
devour,3447,3.2555
doodle,350,2.2621
drink,56215,4.4679
eat,136063,4.8518
embroider,2689,3.1476
hum,2714,3.1516
kill,140951,4.8671
knife,494,2.4118
poison,4710,3.3910
polish,6360,3.5215
pour,26960,4.1487
sew,4141,3.3351
sign,168608,4.9449
sing,75238,4.5945
sip,3090,3.2080
slice,9389,3.6906
smoke,21213,4.0446
steal,41619,4.3373
swig,229,2.0779
teach,198500,5.0158
wash,41347,4.3345
watch,170952,4.9509
write,634329,5.5203
