verb,frequency,Zipf score
accoltellare,1933,3.0860
affettare,5539,3.5432
avvelenare,8732,3.7409
bere,58875,4.5697
cantare,77281,4.6879
canticchiare,2119,3.1259
costruire,282558,5.2509
cucinare,15135,3.9798
cucire,7029,3.6467
decapitare,3987,3.4004
divorare,10850,3.8352
firmare,126382,4.9015
fumare,28974,4.2618
guardare,358839,5.3547
insegnare,111884,4.8486
lavare,28971,4.2618
lucidare,2561,3.2082
mangiare,117137,4.8685
pulire,34400,4.3364
ricamare,4727,3.4744
rompere,65876,4.6185
rubare,38715,4.3877
scarabocchiare,563,2.5503
scrivere,855506,5.7320
sorseggiare,3145,3.2974
spaccare,14799,3.9700
tagliare,78147,4.6927
trangugiare,652,2.6140
uccidere,156043,4.9930
versare,91025,4.7590

